iter	RMSE
0	5710.57807
1	5706.701867
2	5704.271254
3	5702.656471
4	5701.72504
5	5701.205975
6	5700.995197
7	5700.615015
8	5700.323227
9	5700.207773
10	5699.998646
11	5699.883177
12	5699.828576
13	5699.662095
14	5699.626009
15	5699.613469
16	5699.508151
17	5699.376285
18	5699.331471
19	5699.262395
20	5699.242422
21	5699.195431
22	5699.127038
23	5699.047297
24	5698.921232
25	5698.831398
26	5698.779541
27	5698.738544
28	5698.683982
29	5698.579251
30	5698.511008
31	5698.433435
32	5698.368432
33	5698.304351
34	5698.246512
35	5698.190119
36	5698.137104
37	5698.080537
38	5698.034885
39	5697.974153
40	5697.927133
41	5697.878697
42	5697.835983
43	5697.787559
44	5697.748269
45	5697.711262
46	5697.66763
47	5697.628691
48	5697.593178
49	5697.553216
50	5697.521891
51	5697.483392
52	5697.448594
53	5697.412289
54	5697.380484
55	5697.349886
56	5697.321908
57	5697.291192
58	5697.26358
59	5697.231004
60	5697.200665
61	5697.177019
62	5697.154365
63	5697.125493
64	5697.10266
65	5697.077338
66	5697.05689
67	5697.031426
68	5697.009653
69	5696.987118
70	5696.964617
71	5696.941888
72	5696.921212
73	5696.896925
74	5696.876913
75	5696.854393
76	5696.835107
77	5696.81681
78	5696.783656
79	5696.758849
80	5696.730361
81	5696.704097
82	5696.677075
83	5696.650776
84	5696.624455
85	5696.598482
86	5696.572669
87	5696.547106
88	5696.521746
89	5696.496609
90	5696.471683
91	5696.446971
92	5696.422469
93	5696.398175
94	5696.374089
95	5696.350208
96	5696.32653
97	5696.303054
98	5696.279778
99	5696.256701
100	5696.23382
101	5696.211134
102	5696.188641
103	5696.16634
104	5696.144229
105	5696.122306
106	5696.10057
107	5696.079019
108	5696.057652
109	5696.036467
110	5696.015463
111	5695.994637
112	5695.973989
113	5695.953517
114	5695.933219
115	5695.913094
116	5695.893141
117	5695.873358
118	5695.853743
119	5695.834295
120	5695.815014
121	5695.795896
122	5695.776941
123	5695.758148
124	5695.739515
125	5695.721041
126	5695.702724
127	5695.684563
128	5695.666352
129	5695.642299
130	5695.621529
131	5695.599397
132	5695.578204
133	5695.556792
134	5695.535737
135	5695.514749
136	5695.49397
137	5695.473328
138	5695.453624
139	5695.434942
140	5695.415322
141	5695.394982
142	5695.376359
143	5695.357289
144	5695.33873
145	5695.320865
146	5695.302094
147	5695.283777
148	5695.267817
149	5695.254262
150	5695.230735
151	5695.211918
152	5695.191042
153	5695.171445
154	5695.151445
155	5695.131877
156	5695.112321
157	5695.092985
158	5695.073764
159	5695.054709
160	5695.035792
161	5695.017025
162	5694.998401
163	5694.979922
164	5694.961585
165	5694.943389
166	5694.925334
167	5694.907419
168	5694.889641
169	5694.872001
170	5694.854497
171	5694.837128
172	5694.819893
173	5694.802791
174	5694.785821
175	5694.768982
176	5694.752273
177	5694.735693
178	5694.719241
179	5694.702916
180	5694.686717
181	5694.670643
182	5694.654692
183	5694.638865
184	5694.623161
185	5694.607577
186	5694.592114
187	5694.57677
188	5694.561544
189	5694.546436
190	5694.531444
191	5694.516569
192	5694.501808
193	5694.48716
194	5694.472626
195	5694.458205
196	5694.444159
197	5694.430674
198	5694.40825
199	5694.392644
200	5694.375573
201	5694.357647
202	5694.342977
203	5694.327303
204	5694.313742
205	5694.298263
206	5694.284984
207	5694.272303
208	5694.254912
209	5694.241238
210	5694.221491
211	5694.205151
212	5694.187368
213	5694.170537
214	5694.153451
215	5694.13671
216	5694.120012
217	5694.103506
218	5694.087117
219	5694.070879
220	5694.054773
221	5694.038808
222	5694.022977
223	5694.007282
224	5693.99172
225	5693.976291
226	5693.960994
227	5693.945827
228	5693.930789
229	5693.915879
230	5693.901096
231	5693.886439
232	5693.871908
233	5693.8575
234	5693.843214
235	5693.829051
236	5693.815008
237	5693.801085
238	5693.787561
239	5693.775134
240	5693.760707
241	5693.747477
242	5693.733828
243	5693.721028
244	5693.707918
245	5693.693424
246	5693.678167
247	5693.663842
248	5693.65165
249	5693.637848
250	5693.625035
251	5693.611898
252	5693.599091
253	5693.586285
254	5693.573642
255	5693.561079
256	5693.548637
257	5693.536295
258	5693.524061
259	5693.511929
260	5693.499902
261	5693.488184
262	5693.477902
263	5693.465973
264	5693.452911
265	5693.439598
266	5693.428958
267	5693.418171
268	5693.405411
269	5693.395174
270	5693.383212
271	5693.367683
272	5693.354165
273	5693.339821
274	5693.326056
275	5693.312165
276	5693.298497
277	5693.284877
278	5693.271391
279	5693.257994
280	5693.244708
281	5693.231521
282	5693.218438
283	5693.205455
284	5693.192572
285	5693.179789
286	5693.166955
287	5693.155625
288	5693.141498
289	5693.130883
290	5693.11627
291	5693.105144
292	5693.092089
293	5693.08202
294	5693.069929
295	5693.060077
296	5693.048404
297	5693.038876
298	5693.024425
299	5693.012714
300	5692.999813
301	5692.98766
302	5692.975278
303	5692.963154
304	5692.951043
305	5692.939065
306	5692.92716
307	5692.915357
308	5692.90364
309	5692.892015
310	5692.88048
311	5692.869033
312	5692.857675
313	5692.846405
314	5692.835222
315	5692.824125
316	5692.813113
317	5692.802187
318	5692.791345
319	5692.780587
320	5692.769911
321	5692.759318
322	5692.748807
323	5692.738377
324	5692.728028
325	5692.717758
326	5692.707568
327	5692.697456
328	5692.687287
329	5692.674515
330	5692.663237
331	5692.651372
332	5692.639951
333	5692.628457
334	5692.617147
335	5692.60589
336	5692.594751
337	5692.583696
338	5692.572946
339	5692.563352
340	5692.552578
341	5692.54162
342	5692.530894
343	5692.52019
344	5692.509612
345	5692.499107
346	5692.4887
347	5692.478462
348	5692.469019
349	5692.458316
350	5692.448386
351	5692.438387
352	5692.429732
353	5692.419328
354	5692.40969
355	5692.400506
356	5692.39213
357	5692.383734
358	5692.372825
359	5692.364858
360	5692.355706
361	5692.347145
362	5692.336437
363	5692.326963
364	5692.317006
365	5692.307418
366	5692.29777
367	5692.288275
368	5692.278826
369	5692.269475
370	5692.260194
371	5692.250998
372	5692.241877
373	5692.232835
374	5692.22387
375	5692.214851
376	5692.204601
377	5692.195092
378	5692.185328
379	5692.175804
380	5692.166271
381	5692.156853
382	5692.147488
383	5692.138168
384	5692.128756
385	5692.120522
386	5692.111227
387	5692.103739
388	5692.094852
389	5692.086725
390	5692.078877
391	5692.070852
392	5692.061518
393	5692.052965
394	5692.044138
395	5692.035561
396	5692.02697
397	5692.018495
398	5692.009985
399	5692.003553
400	5691.992541
401	5691.984085
402	5691.974343
403	5691.965768
404	5691.956454
405	5691.947619
406	5691.93865
407	5691.929852
408	5691.921071
409	5691.912383
410	5691.903749
411	5691.895189
412	5691.886691
413	5691.87826
414	5691.869894
415	5691.861593
416	5691.853356
417	5691.845182
418	5691.837071
419	5691.829023
420	5691.821037
421	5691.813113
422	5691.80525
423	5691.797448
424	5691.789916
425	5691.781085
426	5691.773125
427	5691.765869
428	5691.756785
429	5691.747047
430	5691.739862
431	5691.732668
432	5691.724286
433	5691.716121
434	5691.707952
435	5691.699881
436	5691.692277
437	5691.684128
438	5691.676356
439	5691.668497
440	5691.660782
441	5691.653094
442	5691.645491
443	5691.637943
444	5691.630465
445	5691.623047
446	5691.615694
447	5691.608404
448	5691.600859
