iter	Passed	Remaining
0	1	1892
1	4	2133
2	6	2074
3	8	2082
4	10	2089
5	12	2102
6	15	2144
7	17	2155
8	19	2154
9	21	2129
10	23	2121
11	25	2131
12	28	2129
13	30	2136
14	32	2133
15	34	2118
16	36	2119
17	38	2115
18	40	2107
19	42	2106
20	44	2092
21	46	2087
22	49	2083
23	51	2081
24	53	2079
25	55	2076
26	57	2072
27	59	2075
28	61	2071
29	63	2066
30	65	2061
31	68	2065
32	70	2063
33	72	2059
34	74	2054
35	76	2060
36	79	2056
37	81	2053
38	83	2052
39	85	2053
40	87	2048
41	89	2043
42	91	2040
43	93	2036
44	96	2040
45	98	2035
46	100	2030
47	102	2027
48	104	2024
49	106	2023
50	108	2018
51	110	2018
52	112	2014
53	114	2011
54	117	2010
55	119	2006
56	121	2005
57	123	2005
58	125	2008
59	128	2007
60	130	2007
61	132	2009
62	135	2009
63	137	2006
64	139	2005
65	141	2002
66	143	2000
67	145	2000
68	147	1995
69	150	1998
70	152	1996
71	154	1992
72	156	1988
73	158	1988
74	161	1986
75	163	1983
76	165	1980
77	167	1980
78	169	1978
79	171	1977
80	174	1974
81	176	1973
82	178	1971
83	180	1969
84	182	1965
85	184	1963
86	186	1959
87	188	1957
88	191	1956
89	193	1953
90	195	1953
91	197	1950
92	199	1947
93	201	1945
94	203	1941
95	205	1939
96	208	1938
97	210	1935
98	212	1933
99	214	1931
100	216	1928
101	218	1927
102	221	1925
103	223	1925
104	225	1922
105	227	1920
106	229	1916
107	231	1916
108	234	1914
109	236	1912
110	238	1910
111	240	1906
112	242	1905
113	244	1902
114	246	1898
115	248	1897
116	251	1894
117	253	1892
118	255	1890
119	257	1888
120	259	1886
121	261	1883
122	263	1880
123	265	1878
124	268	1876
125	270	1872
126	272	1870
127	274	1868
128	276	1865
129	278	1862
130	280	1860
131	282	1858
132	284	1855
133	286	1853
134	289	1851
135	291	1849
136	292	1845
137	295	1843
138	297	1840
139	299	1838
140	301	1836
141	303	1833
142	305	1831
143	307	1829
144	310	1828
145	312	1825
146	314	1822
147	316	1822
148	318	1819
149	320	1818
150	323	1817
151	325	1816
152	327	1814
153	330	1813
154	332	1811
155	334	1807
156	336	1805
157	338	1803
158	340	1800
159	342	1797
160	344	1796
161	347	1795
162	349	1792
163	351	1789
164	353	1786
165	355	1785
166	357	1785
167	359	1782
168	362	1780
169	364	1778
170	366	1776
171	368	1773
172	370	1770
173	372	1768
174	374	1766
175	376	1764
176	379	1762
177	381	1759
178	383	1757
179	385	1755
180	387	1753
181	389	1752
182	391	1749
183	393	1746
184	396	1744
185	397	1741
186	400	1739
187	402	1738
188	404	1736
189	406	1733
190	408	1731
191	411	1730
192	413	1729
193	415	1726
194	417	1724
195	419	1722
196	421	1719
197	423	1716
198	426	1715
199	428	1714
200	430	1712
201	432	1709
202	434	1707
203	437	1705
204	439	1702
205	441	1700
206	443	1697
207	445	1696
208	447	1694
209	449	1691
210	452	1691
211	454	1689
212	456	1685
213	458	1684
214	460	1682
215	462	1679
216	464	1677
217	467	1675
218	469	1672
219	471	1669
220	472	1667
221	475	1664
222	477	1664
223	479	1662
224	481	1659
225	483	1656
226	485	1654
227	487	1651
228	489	1649
229	492	1647
230	494	1644
231	496	1642
232	498	1640
233	500	1638
234	502	1636
235	504	1633
236	506	1631
237	508	1629
238	511	1627
239	513	1625
240	515	1623
241	517	1621
242	519	1619
243	522	1617
244	524	1615
245	526	1614
246	528	1612
247	530	1610
248	533	1607
249	535	1605
250	537	1603
251	539	1600
252	541	1598
253	543	1595
254	545	1593
255	547	1590
256	549	1587
257	551	1586
258	553	1584
259	555	1581
260	557	1579
261	560	1577
262	562	1574
263	564	1572
264	566	1570
265	568	1568
266	570	1565
267	572	1563
268	574	1562
269	577	1560
270	579	1558
271	581	1555
272	583	1553
273	585	1551
274	587	1549
275	590	1547
276	592	1545
277	594	1543
278	596	1541
279	598	1539
280	600	1537
281	603	1535
282	605	1533
283	607	1531
284	609	1529
285	611	1527
286	613	1525
287	616	1523
288	618	1520
289	620	1518
290	622	1516
291	624	1515
292	627	1513
293	629	1510
294	631	1508
295	633	1507
296	635	1505
297	638	1503
298	640	1501
299	642	1498
300	644	1496
301	646	1493
302	648	1491
303	650	1489
304	652	1487
305	654	1485
306	657	1483
307	659	1481
308	661	1478
309	663	1476
310	665	1474
311	667	1472
312	669	1470
313	672	1468
314	674	1466
315	676	1464
316	678	1462
317	680	1460
318	682	1458
319	685	1455
320	687	1453
321	689	1451
322	691	1449
323	693	1447
324	695	1445
325	697	1443
326	700	1441
327	702	1439
328	704	1436
329	706	1435
330	709	1434
331	712	1432
332	714	1430
333	716	1428
334	718	1425
335	720	1423
336	722	1421
337	724	1419
338	726	1416
339	728	1414
340	730	1411
341	732	1409
342	734	1407
343	736	1405
344	738	1402
345	741	1400
346	743	1398
347	745	1396
348	747	1394
349	749	1391
350	751	1389
351	753	1387
352	755	1385
353	757	1382
354	759	1380
355	762	1378
356	764	1376
357	766	1374
358	768	1372
359	770	1370
360	772	1367
361	774	1365
362	776	1363
363	778	1361
364	781	1358
365	783	1356
366	785	1354
367	787	1352
368	789	1349
369	791	1347
370	793	1345
371	796	1344
372	798	1341
373	800	1339
374	802	1337
375	805	1336
376	807	1333
377	809	1331
378	811	1329
379	813	1327
380	816	1325
381	818	1323
382	820	1322
383	822	1319
384	824	1317
385	826	1315
386	829	1313
387	831	1310
388	833	1308
389	835	1306
390	837	1304
391	839	1301
392	841	1299
393	843	1297
394	845	1294
395	847	1292
396	849	1290
397	851	1288
398	854	1286
399	856	1284
400	858	1282
401	860	1280
402	862	1277
403	864	1275
404	866	1272
405	868	1270
406	870	1268
407	873	1266
408	875	1264
409	877	1262
410	879	1260
411	882	1258
412	884	1256
413	886	1255
414	888	1252
415	891	1250
416	893	1248
417	895	1246
418	897	1244
419	899	1241
420	901	1239
421	904	1238
422	906	1236
423	908	1234
424	911	1232
425	912	1230
426	914	1227
427	917	1225
428	919	1223
429	921	1221
430	923	1219
431	925	1216
432	927	1214
433	929	1212
434	932	1210
435	934	1208
436	936	1206
437	938	1204
438	940	1201
439	942	1199
440	944	1197
441	947	1195
442	949	1193
443	951	1191
444	953	1189
445	955	1186
446	957	1184
447	959	1182
448	961	1180
449	964	1178
450	966	1176
451	968	1173
452	970	1171
453	972	1169
454	974	1167
455	976	1165
456	978	1162
457	980	1160
458	982	1158
459	984	1156
460	987	1154
461	989	1152
462	991	1150
463	993	1147
464	995	1145
465	998	1143
466	1000	1141
467	1002	1139
468	1004	1137
469	1006	1135
470	1008	1133
471	1010	1130
472	1012	1128
473	1015	1126
474	1017	1124
475	1019	1122
476	1021	1119
477	1023	1117
478	1024	1114
479	1026	1112
480	1029	1110
481	1031	1108
482	1033	1106
483	1035	1103
484	1037	1101
485	1039	1099
486	1041	1097
487	1043	1095
488	1045	1092
489	1048	1090
490	1050	1088
491	1052	1086
492	1054	1084
493	1056	1082
494	1058	1080
495	1060	1078
496	1063	1075
497	1065	1073
498	1067	1071
499	1069	1069
500	1071	1067
501	1073	1065
502	1075	1062
503	1077	1060
504	1080	1058
505	1082	1056
506	1084	1054
507	1086	1051
508	1088	1049
509	1090	1047
510	1092	1045
511	1094	1043
512	1096	1041
513	1099	1039
514	1101	1037
515	1103	1035
516	1106	1033
517	1108	1031
518	1110	1029
519	1112	1027
520	1114	1024
521	1116	1022
522	1119	1020
523	1121	1018
524	1123	1016
525	1125	1014
526	1127	1012
527	1129	1010
528	1131	1007
529	1133	1005
530	1136	1003
531	1138	1001
532	1140	999
533	1142	997
534	1144	994
535	1146	992
536	1148	990
537	1151	988
538	1153	986
539	1155	984
540	1157	981
541	1159	979
542	1161	977
543	1163	975
544	1165	973
545	1167	970
546	1169	968
547	1172	966
548	1173	964
549	1176	962
550	1178	960
551	1180	958
552	1182	956
553	1185	954
554	1188	952
555	1190	950
556	1192	948
557	1194	946
558	1196	943
559	1198	941
560	1200	939
561	1203	937
562	1205	935
563	1207	933
564	1209	931
565	1211	929
566	1214	927
567	1216	925
568	1218	922
569	1220	920
570	1222	918
571	1224	916
572	1226	914
573	1228	911
574	1230	909
575	1233	907
576	1235	905
577	1237	903
578	1239	901
579	1241	899
580	1243	896
581	1245	894
582	1247	892
583	1249	890
584	1251	888
585	1253	885
586	1255	883
587	1258	881
588	1260	879
589	1262	877
590	1264	875
591	1266	873
592	1269	871
593	1271	868
594	1273	866
595	1275	864
596	1277	862
597	1279	860
598	1282	858
599	1284	856
600	1286	854
601	1288	851
602	1290	849
603	1292	847
604	1295	845
605	1297	843
606	1299	841
607	1301	839
608	1303	837
609	1305	834
